"DATE","TIME PERIOD","(LFSI.M.I9.S.UNEHRT.TOTAL0.15_74.T)"
"2010-01-31","2010Jan","10.243995"
"2010-02-28","2010Feb","10.278221"
"2010-03-31","2010Mar","10.274544"
"2010-04-30","2010Apr","10.356062"
"2010-05-31","2010May","10.345370"
"2010-06-30","2010Jun","10.314668"
"2010-07-31","2010Jul","10.251870"
"2010-08-31","2010Aug","10.222019"
"2010-09-30","2010Sep","10.236079"
"2010-10-31","2010Oct","10.265761"
"2010-11-30","2010Nov","10.196450"
"2010-12-31","2010Dec","10.199862"
"2011-01-31","2011Jan","10.149946"
"2011-02-28","2011Feb","10.116007"
"2011-03-31","2011Mar","10.097419"
"2011-04-30","2011Apr","10.027237"
"2011-05-31","2011May","10.090462"
"2011-06-30","2011Jun","10.124048"
"2011-07-31","2011Jul","10.238272"
"2011-08-31","2011Aug","10.346194"
"2011-09-30","2011Sep","10.459273"
"2011-10-31","2011Oct","10.567519"
"2011-11-30","2011Nov","10.709508"
"2011-12-31","2011Dec","10.821632"
"2012-01-31","2012Jan","10.873052"
"2012-02-29","2012Feb","11.042429"
"2012-03-31","2012Mar","11.219235"
"2012-04-30","2012Apr","11.322773"
"2012-05-31","2012May","11.385317"
"2012-06-30","2012Jun","11.490010"
"2012-07-31","2012Jul","11.557515"
"2012-08-31","2012Aug","11.597244"
"2012-09-30","2012Sep","11.717049"
"2012-10-31","2012Oct","11.866009"
"2012-11-30","2012Nov","11.991983"
"2012-12-31","2012Dec","12.026421"
"2013-01-31","2013Jan","12.217402"
"2013-02-28","2013Feb","12.217334"
"2013-03-31","2013Mar","12.225611"
"2013-04-30","2013Apr","12.237611"
"2013-05-31","2013May","12.209959"
"2013-06-30","2013Jun","12.157308"
"2013-07-31","2013Jul","12.132992"
"2013-08-31","2013Aug","12.105093"
"2013-09-30","2013Sep","12.142325"
"2013-10-31","2013Oct","12.075176"
"2013-11-30","2013Nov","12.062768"
"2013-12-31","2013Dec","12.002161"
"2014-01-31","2014Jan","12.047021"
"2014-02-28","2014Feb","12.013030"
"2014-03-31","2014Mar","11.930470"
"2014-04-30","2014Apr","11.810935"
"2014-05-31","2014May","11.753073"
"2014-06-30","2014Jun","11.612288"
"2014-07-31","2014Jul","11.663949"
"2014-08-31","2014Aug","11.560364"
"2014-09-30","2014Sep","11.612507"
"2014-10-31","2014Oct","11.629631"
"2014-11-30","2014Nov","11.643259"
"2014-12-31","2014Dec","11.479142"
"2015-01-31","2015Jan","11.380203"
"2015-02-28","2015Feb","11.329949"
"2015-03-31","2015Mar","11.306522"
"2015-04-30","2015Apr","11.192934"
"2015-05-31","2015May","11.137104"
"2015-06-30","2015Jun","11.073857"
"2015-07-31","2015Jul","10.851631"
"2015-08-31","2015Aug","10.760233"
"2015-09-30","2015Sep","10.716256"
"2015-10-31","2015Oct","10.725506"
"2015-11-30","2015Nov","10.605083"
"2015-12-31","2015Dec","10.568038"
"2016-01-31","2016Jan","10.473714"
"2016-02-29","2016Feb","10.441954"
"2016-03-31","2016Mar","10.345733"
"2016-04-30","2016Apr","10.319271"
"2016-05-31","2016May","10.220940"
"2016-06-30","2016Jun","10.175734"
"2016-07-31","2016Jul","10.033992"
"2016-08-31","2016Aug","9.990537"
"2016-09-30","2016Sep","9.928040"
"2016-10-31","2016Oct","9.853734"
"2016-11-30","2016Nov","9.870239"
"2016-12-31","2016Dec","9.740001"
"2017-01-31","2017Jan","9.640151"
"2017-02-28","2017Feb","9.540065"
"2017-03-31","2017Mar","9.470505"
"2017-04-30","2017Apr","9.303814"
"2017-05-31","2017May","9.277506"
"2017-06-30","2017Jun","9.126411"
"2017-07-31","2017Jul","9.097351"
"2017-08-31","2017Aug","9.018095"
"2017-09-30","2017Sep","8.926500"
"2017-10-31","2017Oct","8.817934"
"2017-11-30","2017Nov","8.747478"
"2017-12-31","2017Dec","8.713448"
"2018-01-31","2018Jan","8.681161"
"2018-02-28","2018Feb","8.590373"
"2018-03-31","2018Mar","8.531199"
"2018-04-30","2018Apr","8.445032"
"2018-05-31","2018May","8.315743"
"2018-06-30","2018Jun","8.247211"
"2018-07-31","2018Jul","8.110642"
