"DATE","TIME PERIOD","Current account, Balance (BPS.M.N.I9.W1.S1.S1.T.B.CA._Z._Z._Z.EUR._T._X.N.ALL)"
"2015-01-31","2015Jan","19678.507"
"2015-02-28","2015Feb","9227.791"
"2015-03-31","2015Mar","23664.679"
"2015-04-30","2015Apr","18729.021"
"2015-05-31","2015May","6781.284"
"2015-06-30","2015Jun","7493.695"
"2015-07-31","2015Jul","41991.470"
"2015-08-31","2015Aug","19429.037"
"2015-09-30","2015Sep","33052.452"
"2015-10-31","2015Oct","26496.354"
"2015-11-30","2015Nov","27239.560"
"2015-12-31","2015Dec","44944.773"
"2016-01-31","2016Jan","5273.938"
"2016-02-29","2016Feb","12369.791"
"2016-03-31","2016Mar","35143.106"
"2016-04-30","2016Apr","32496.771"
"2016-05-31","2016May","13892.261"
"2016-06-30","2016Jun","30781.737"
"2016-07-31","2016Jul","35383.137"
"2016-08-31","2016Aug","24105.687"
"2016-09-30","2016Sep","36312.466"
"2016-10-31","2016Oct","27116.000"
"2016-11-30","2016Nov","30602.218"
"2016-12-31","2016Dec","42061.536"
"2017-01-31","2017Jan","-2939.632"
"2017-02-28","2017Feb","26035.770"
"2017-03-31","2017Mar","45775.033"
"2017-04-30","2017Apr","6757.248"
"2017-05-31","2017May","-599.120"
"2017-06-30","2017Jun","23728.589"
"2017-07-31","2017Jul","39460.726"
"2017-08-31","2017Aug","37382.665"
"2017-09-30","2017Sep","48439.675"
"2017-10-31","2017Oct","39341.972"
"2017-11-30","2017Nov","41043.935"
"2017-12-31","2017Dec","50038.438"
"2018-01-31","2018Jan","9050.707"
"2018-02-28","2018Feb","20955.279"
"2018-03-31","2018Mar","47873.492"
"2018-04-30","2018Apr","31377.308"
"2018-05-31","2018May","10219.386"
"2018-06-30","2018Jun","28464.472"
"2018-07-31","2018Jul","33969.255"
"2018-08-31","2018Aug","33385.217"
"2018-09-30","2018Sep","30779.005"
"2018-10-31","2018Oct","27023.689"
"2018-11-30","2018Nov","23348.685"
"2018-12-31","2018Dec","32894.567"
"2019-01-31","2019Jan","14862.337"
"2019-02-28","2019Feb","22592.676"
"2019-03-31","2019Mar","41268.633"
"2019-04-30","2019Apr","12462.767"
"2019-05-31","2019May","3871.011"
"2019-06-30","2019Jun","14092.503"
"2019-07-31","2019Jul","38985.676"
"2019-08-31","2019Aug","36071.270"
"2019-09-30","2019Sep","45017.531"
"2019-10-31","2019Oct","21959.469"
"2019-11-30","2019Nov","15696.540"
"2019-12-31","2019Dec","20289.445"
"2020-01-31","2020Jan","-18419.416"
"2020-02-29","2020Feb","2993.294"
"2020-03-31","2020Mar","15311.385"
"2020-04-30","2020Apr","7191.547"
"2020-05-31","2020May","-3043.830"
"2020-06-30","2020Jun","10248.694"
"2020-07-31","2020Jul","24804.430"
"2020-08-31","2020Aug","20515.715"
"2020-09-30","2020Sep","34299.943"
"2020-10-31","2020Oct","28597.130"
"2020-11-30","2020Nov","25782.508"
"2020-12-31","2020Dec","44031.096"
"2021-01-31","2021Jan","22970.499"
"2021-02-28","2021Feb","26563.030"
"2021-03-31","2021Mar","43077.814"
"2021-04-30","2021Apr","37010.908"
"2021-05-31","2021May","13466.339"
"2021-06-30","2021Jun","32982.282"
"2021-07-31","2021Jul","40984.364"
"2021-08-31","2021Aug","25674.697"
"2021-09-30","2021Sep","36611.647"
"2021-10-31","2021Oct","10047.445"
"2021-11-30","2021Nov","18134.534"
"2021-12-31","2021Dec","30695.447"
"2022-01-31","2022Jan","-6452.681"
"2022-02-28","2022Feb","9341.369"
"2022-03-31","2022Mar","4226.207"
"2022-04-30","2022Apr","-15463.105"
"2022-05-31","2022May","-27398.271"
"2022-06-30","2022Jun","-8361.930"
"2022-07-31","2022Jul","-13422.790"
"2022-08-31","2022Aug","-26274.716"
"2022-09-30","2022Sep","-5902.960"
"2022-10-31","2022Oct","-14074.434"
"2022-11-30","2022Nov","7690.967"
"2022-12-31","2022Dec","17079.030"
"2023-01-31","2023Jan","-11816.248"
"2023-02-28","2023Feb","10729.028"
"2023-03-31","2023Mar","27022.776"
"2023-04-30","2023Apr","5460.293"
"2023-05-31","2023May","-8295.630"
"2023-06-30","2023Jun","32795.709"
"2023-07-31","2023Jul","29864.029"
"2023-08-31","2023Aug","28568.451"
"2023-09-30","2023Sep","37096.465"
"2023-10-31","2023Oct","14202.803"
"2023-11-30","2023Nov","30554.790"
"2023-12-31","2023Dec","43614.502"
"2024-01-31","2024Jan","24556.705"
"2024-02-29","2024Feb","31117.775"
"2024-03-31","2024Mar","44533.435"
"2024-04-30","2024Apr","34443.459"
