"DATE","TIME PERIOD","EER-41/Euro (EXR.M.E03.EUR.EN00.A)"
"2015-01-31","2015Jan","108.5029"
"2015-02-28","2015Feb","106.7169"
"2015-03-31","2015Mar","103.5113"
"2015-04-30","2015Apr","102.1618"
"2015-05-31","2015May","104.3315"
"2015-06-30","2015Jun","105.5781"
"2015-07-31","2015Jul","104.6156"
"2015-08-31","2015Aug","107.4802"
"2015-09-30","2015Sep","109.0771"
"2015-10-31","2015Oct","108.5319"
"2015-11-30","2015Nov","105.3735"
"2015-12-31","2015Dec","107.4221"
"2016-01-31","2016Jan","109.2303"
"2016-02-29","2016Feb","110.7269"
"2016-03-31","2016Mar","109.5338"
"2016-04-30","2016Apr","110.3270"
"2016-05-31","2016May","110.6810"
"2016-06-30","2016Jun","110.1943"
"2016-07-31","2016Jul","109.9929"
"2016-08-31","2016Aug","110.5430"
"2016-09-30","2016Sep","110.7717"
"2016-10-31","2016Oct","110.5617"
"2016-11-30","2016Nov","110.0019"
"2016-12-31","2016Dec","108.7834"
"2017-01-31","2017Jan","109.2082"
"2017-02-28","2017Feb","108.4310"
"2017-03-31","2017Mar","108.8567"
"2017-04-30","2017Apr","108.4982"
"2017-05-31","2017May","110.8031"
"2017-06-30","2017Jun","111.8357"
"2017-07-31","2017Jul","113.7324"
"2017-08-31","2017Aug","115.6426"
"2017-09-30","2017Sep","115.6826"
"2017-10-31","2017Oct","115.3916"
"2017-11-30","2017Nov","115.5535"
"2017-12-31","2017Dec","115.9072"
"2018-01-31","2018Jan","116.8715"
"2018-02-28","2018Feb","117.3993"
"2018-03-31","2018Mar","117.6431"
"2018-04-30","2018Apr","117.7133"
"2018-05-31","2018May","116.2900"
"2018-06-30","2018Jun","116.1805"
"2018-07-31","2018Jul","117.4426"
"2018-08-31","2018Aug","117.8650"
"2018-09-30","2018Sep","119.1400"
"2018-10-31","2018Oct","117.8441"
"2018-11-30","2018Nov","116.8138"
"2018-12-31","2018Dec","116.9854"
"2019-01-31","2019Jan","116.3576"
"2019-02-28","2019Feb","115.6677"
"2019-03-31","2019Mar","115.1930"
"2019-04-30","2019Apr","115.0160"
"2019-05-31","2019May","115.7472"
"2019-06-30","2019Jun","116.2232"
"2019-07-31","2019Jul","115.3638"
"2019-08-31","2019Aug","116.2300"
"2019-09-30","2019Sep","115.2851"
"2019-10-31","2019Oct","115.2844"
"2019-11-30","2019Nov","114.6792"
"2019-12-31","2019Dec","114.7130"
"2020-01-31","2020Jan","114.1872"
"2020-02-29","2020Feb","113.5241"
"2020-03-31","2020Mar","117.6722"
"2020-04-30","2020Apr","117.3170"
"2020-05-31","2020May","117.3704"
"2020-06-30","2020Jun","118.9608"
"2020-07-31","2020Jul","120.1885"
"2020-08-31","2020Aug","122.2978"
"2020-09-30","2020Sep","122.2535"
"2020-10-31","2020Oct","122.1537"
"2020-11-30","2020Nov","121.3687"
"2020-12-31","2020Dec","122.7482"
"2021-01-31","2021Jan","122.1946"
"2021-02-28","2021Feb","121.3299"
"2021-03-31","2021Mar","121.0820"
"2021-04-30","2021Apr","121.7347"
"2021-05-31","2021May","122.0910"
"2021-06-30","2021Jun","121.3215"
"2021-07-31","2021Jul","120.6159"
"2021-08-31","2021Aug","120.1635"
"2021-09-30","2021Sep","120.1467"
"2021-10-31","2021Oct","119.1927"
"2021-11-30","2021Nov","118.4421"
"2021-12-31","2021Dec","118.5901"
"2022-01-31","2022Jan","118.1531"
"2022-02-28","2022Feb","118.4827"
"2022-03-31","2022Mar","117.8798"
"2022-04-30","2022Apr","115.9623"
"2022-05-31","2022May","115.8070"
"2022-06-30","2022Jun","116.0932"
"2022-07-31","2022Jul","114.0970"
"2022-08-31","2022Aug","113.5970"
"2022-09-30","2022Sep","113.9224"
"2022-10-31","2022Oct","114.8378"
"2022-11-30","2022Nov","116.6171"
"2022-12-31","2022Dec","118.5626"
"2023-01-31","2023Jan","119.1869"
"2023-02-28","2023Feb","119.3050"
"2023-03-31","2023Mar","119.7362"
"2023-04-30","2023Apr","121.4989"
"2023-05-31","2023May","120.9400"
"2023-06-30","2023Jun","121.7661"
"2023-07-31","2023Jul","123.7297"
"2023-08-31","2023Aug","123.7452"
"2023-09-30","2023Sep","122.9805"
"2023-10-31","2023Oct","122.5325"
"2023-11-30","2023Nov","123.3948"
"2023-12-31","2023Dec","123.1815"
"2024-01-31","2024Jan","123.5975"
"2024-02-29","2024Feb","123.3271"
"2024-03-31","2024Mar","124.2385"
"2024-04-30","2024Apr","124.0033"
"2024-05-31","2024May","124.3696"
