"DATE","TIME PERIOD","Official reserve assets (RAS.M.N.U2.W1.S121.S1.LE.A.FA.R.F._Z.EUR.X1._X.N.ALL)"
"2015-01-31","2015Jan","677952"
"2015-02-28","2015Feb","671198"
"2015-03-31","2015Mar","690396"
"2015-04-30","2015Apr","668238"
"2015-05-31","2015May","672326"
"2015-06-30","2015Jun","658465"
"2015-07-31","2015Jul","634619"
"2015-08-31","2015Aug","637356"
"2015-09-30","2015Sep","644223"
"2015-10-31","2015Oct","654662"
"2015-11-30","2015Nov","653248"
"2015-12-31","2015Dec","644241"
"2016-01-31","2016Jan","659531"
"2016-02-29","2016Feb","699558"
"2016-03-31","2016Mar","675274"
"2016-04-30","2016Apr","686581"
"2016-05-31","2016May","682745"
"2016-06-30","2016Jun","721810"
"2016-07-31","2016Jul","724609"
"2016-08-31","2016Aug","718339"
"2016-09-30","2016Sep","727017"
"2016-10-31","2016Oct","717288"
"2016-11-30","2016Nov","706570"
"2016-12-31","2016Dec","707634"
"2017-01-31","2017Jan","706957"
"2017-02-28","2017Feb","735714"
"2017-03-31","2017Mar","726555"
"2017-04-30","2017Apr","716130"
"2017-05-31","2017May","699478"
"2017-06-30","2017Jun","682840"
"2017-07-31","2017Jul","668893"
"2017-08-31","2017Aug","673872"
"2017-09-30","2017Sep","674977"
"2017-10-31","2017Oct","676487"
"2017-11-30","2017Nov","673322"
"2017-12-31","2017Dec","669678"
"2018-01-31","2018Jan","663099"
"2018-02-28","2018Feb","667746"
"2018-03-31","2018Mar","673195"
"2018-04-30","2018Apr","676999"
"2018-05-31","2018May","697642"
"2018-06-30","2018Jun","690019"
"2018-07-31","2018Jul","671893"
"2018-08-31","2018Aug","674945"
"2018-09-30","2018Sep","673925"
"2018-10-31","2018Oct","696846"
"2018-11-30","2018Nov","700365"
"2018-12-31","2018Dec","719051"
"2019-01-31","2019Jan","728399"
"2019-02-28","2019Feb","732863"
"2019-03-31","2019Mar","741136"
"2019-04-30","2019Apr","740447"
"2019-05-31","2019May","751152"
"2019-06-30","2019Jun","770784"
"2019-07-31","2019Jul","797869"
"2019-08-31","2019Aug","836504"
"2019-09-30","2019Sep","826998"
"2019-10-31","2019Oct","816507"
"2019-11-30","2019Nov","808034"
"2019-12-31","2019Dec","813569"
"2020-01-31","2020Jan","846926"
"2020-02-29","2020Feb","864927"
"2020-03-31","2020Mar","866309"
"2020-04-30","2020Apr","909932"
"2020-05-31","2020May","895881"
"2020-06-30","2020Jun","904958"
"2020-07-31","2020Jul","923094"
"2020-08-31","2020Aug","914976"
"2020-09-30","2020Sep","909520"
"2020-10-31","2020Oct","915533"
"2020-11-30","2020Nov","860302"
"2020-12-31","2020Dec","879737"
"2021-01-31","2021Jan","880175"
"2021-02-28","2021Feb","848531"
"2021-03-31","2021Mar","849432"
"2021-04-30","2021Apr","852081"
"2021-05-31","2021May","885410"
"2021-06-30","2021Jun","869045"
"2021-07-31","2021Jul","888494"
"2021-08-31","2021Aug","1009405"
"2021-09-30","2021Sep","1002399"
"2021-10-31","2021Oct","1019527"
"2021-11-30","2021Nov","1045365"
"2021-12-31","2021Dec","1057044"
"2022-01-31","2022Jan","1056890"
"2022-02-28","2022Feb","1091969"
"2022-03-31","2022Mar","1102817"
"2022-04-30","2022Apr","1144218"
"2022-05-31","2022May","1108246"
"2022-06-30","2022Jun","1122091"
"2022-07-31","2022Jul","1129179"
"2022-08-31","2022Aug","1130624"
"2022-09-30","2022Sep","1135791"
"2022-10-31","2022Oct","1111727"
"2022-11-30","2022Nov","1114992"
"2022-12-31","2022Dec","1114211"
"2023-01-31","2023Jan","1125291"
"2023-02-28","2023Feb","1096185"
"2023-03-31","2023Mar","1132944"
"2023-04-30","2023Apr","1120719"
"2023-05-31","2023May","1140527"
"2023-06-30","2023Jun","1105121"
"2023-07-31","2023Jul","1109637"
"2023-08-31","2023Aug","1118717"
"2023-09-30","2023Sep","1113486"
"2023-10-31","2023Oct","1154127"
"2023-11-30","2023Nov","1145503"
"2023-12-31","2023Dec","1147627"
"2024-01-31","2024Jan","1158069"
"2024-02-29","2024Feb","1156111"
"2024-03-31","2024Mar","1214957"
"2024-04-30","2024Apr","1253841"
"2024-05-31","2024May","1253076"
